department;name;location;type;emission_intensity
42;Scevia Quartier de Fonsala;Saint-Chamond;hot;0.062
42;Réseau d'Usson-en-Forez;Usson-en-Forez;hot;0.051
42;Réseau de Saint-Bonnet-le-Château;Saint-Bonnet-le-Château;hot;0
42;Réseau de Jonzieux;Jonzieux;hot;0.037
42;Réseau de Roisey;Roisey;hot;0.002
42;ZAC des Lucioles;Planfoy;hot;0.001
42;Réseau de Le Bessat;Le Bessat;hot;0
42;Réseau de Saint-Bonnet-le-Courreau;Saint-Bonnet-le-Courreau;hot;0.005
42;Réseau de La Terrasse-sur-Dorlay;La Terrasse-sur-Dorlay;hot;0
42;Réseau de Saint-Régis-du-Coin;Saint-Régis-du-Coin;hot;0.015
42;Réseau de Saint-Didier-sur-Rochefort;Saint-Didier-sur-Rochefort;hot;0.008
42;Réseau de Neulise;Neulise;hot;0.025
42;Quartier Notre-Dame;Pelussin;hot;0.03
42;Réseau de Saint-Christo-en-Jarez;Saint-Christo-en-Jarez;hot;0.03
42;Réseau de Saint-Martin-la-Sauveté;Saint-Martin-la-Sauveté;hot;0.025
42;Réseau de Saint-Symphorien-de-Lay;Saint-Symphorien-de-Lay;hot;0
42;Réseau de Marlhes;Marlhes;hot;0
42;Réseau de Saint-Haon-le-Châtel;Saint-Haon-le-Châtel;hot;0.018
42;Réseau de Saint-Joseph;Saint-Joseph;hot;0.158
42;Réseau de Saint-Cyr-de-Favières;Saint-Cyr-de-Favières;hot;0.004
42;Quartier de Mâtel;Roanne;hot;0.093
42;Quartier Arsenal;Roanne;hot;0.066
42;Quartier les Croix-Saint Jean;Pelussin;hot;0.027
42;Réseau siège CDC;Pelussin;hot;0.001
42;Réseau de Saint-Maurice-en-Gourgois;Saint-Maurice-en-Gourgois;hot;0.001
42;Réseau de Colombier;Colombier;hot;0.002
43;Langeac;Langeac;hot;0.128
43;Réseau Vert Veine;Puy-en-Velay;hot;0.054
43;Réseau de chaleur YES;Yssingeaux;hot;0.356
43;Réseau de la Mairie;Dunières;hot;0
43;Réseau de la Piscine;Dunières;hot;0
43;Réseau de Pradelles;Pradelles;hot;0.013
44;Beaulieu Malakoff-Valorena;Nantes;hot;0
44;Réseau de Chateaubriant;Châteaubriant;hot;0.073
44;Réseau de la Chantrerie;Nantes;hot;0.07
44;ZUP de Bellevue Saint Herblain;Nantes-Saint-Herblain;hot;0.123
44;Réseau AFUL de Rezé-Château;Rezé;hot;0.127
44;Réseau ZAC de la Minais;Sainte-Luce-sur-Loire;hot;0.26
44;Réseau de Saint-Julien-de-Concelles;Saint-Julien-de-Concelles;hot;0.066
45;Socos;Orléans;hot;0.085
45;Quartier Centre Ville et Nord;Orléans;hot;0.21
45;ZUP du grand clos;Montargis;hot;0.096
45;Réseau de Fleury les Aubrais;Fleury les Aubrais;hot;0.26
45;C. V. E Pithiviers;Pithiviers;hot;0
46;Réseau de Biars du Cere;Biars dur Cere;hot;0.012
46;Réseau de Cajarc;Cajarc;hot;0.005
46;Réseau de Catus;Catus;hot;0.007
46;Réseau de Caillac;Caillac;hot;0.021
46;Réseau de St Germain du Bel air;Saint Germain du Bel Air;hot;0.01
46;Réseau de Les-Quatre-Routes-du-Lot;Les-Quatre-Routes-du-Lot;hot;0.002
46;Réseau de Sousceyrac;Sousceyrac;hot;0.01
46;Réseau de Figeac;Figeac;hot;0.002
46;Réseau de Livernon;Livernon;hot;0.055
46;Réseau de Cahors;Cahors;hot;0.056
46;Réseau de Thégra;Thégra;hot;0.003
46;Réseau de Lacapelle-Marival;Lacapelle-Marival;hot;0.164
47;Novergie Sud Ouest-Sogad;Le Passage;hot;0.256
48;Mende;Mende;hot;0
49;Réseau d'Angers;Angers;hot;0.03
49;ZUP de Jeanne d'Arc;Angers;hot;0.188
49;CHU Angers;Angers;hot;0.179
49;Chemin Vert;Saumur;hot;0.103
49;Réseau de chaleur d'Andrezé;Andrezé;hot;0.318
49;Réseau d'Orgemont;Angers;hot;0
49;Réseau de chaleur d'Ecouflant;Ecouflant;hot;0.064
50;ZUP d'Octeville;Cherbourg;hot;0.059
50;Ilot Divette;Cherbourg;hot;0.141
50;Régie de chauffage au bois;Le Teilleul;hot;0.052
51;ZUP Laon Neufchâtel;Reims;hot;0.227
51;Réseau UIOM de Reims;Reims;hot;0.256
51;Vitry Habitat;Vitry-le-François;hot;0
51;Quartier Bernon;Epernay;hot;0.262
51;Croix Rouge;Reims;hot;0.128
52;Réseau de chaleur du sud de la ville de Chaumont;Chaumont;hot;0.007
52;Ensemble du Vert Bois;Saint-Dizier;hot;0.186
52;La Rochotte;Chaumont;hot;0.292
53;ZUP de Nicolas;Laval;hot;0.231
54;Nancy Energie;Nancy;hot;0.116
54;Réseau de Vandoeuvre;Vandoeuvre-lès-Nancy;hot;0.023
54;Haut du Lièvre;Nancy;hot;0.068
54;Réseau d'Ecrouve;Ecrouve;hot;0.087
55;Côte Sainte Catherine;Bar le Duc;hot;0.257
55;ZUP Anthouard;Verdun;hot;0.055
55;Ligny en Barrois;Ligny en Barrois;hot;0.055
56;Réseau de Lanester;Lanester;hot;0.028
56;Réseau de chaleur Zac Centre;Hennebont;hot;0
56;Réseau de Gumenen;Auray;hot;0.104
56;Réseau Liger;Locminé;hot;0
57;Réseau de Metz;Metz;hot;0.068
57;Réseau de la ville de Yutz;Yutz;hot;0.145
57;Réseau du Farébersviller;Farébersviller;hot;0.064
57;Wenheck;Saint-Avold;hot;0.25
57;Réseau de Freyming-Merlebach;Freyming-Merlebach;hot;0.155
57;Réseau de Sarreguemines;Sarreguemines;hot;0.257
57;Réseau de Holweg-Forbach-Behren;Forbach-Stiring-Wendel-Behren-lès-Forbach;hot;0.073
57;Huchet;Saint-Avold;hot;0.192
57;Côte de la Justice;Saint-Avold;hot;0.214
57;Carrière;Saint-Avold;hot;0.231
57;Réseau de chauffage de Creutzwald;Creutzwald;hot;0.248
58;Réseau de Decize;Decize;hot;0.176
58;Réseau du Banlay;Nevers;hot;0.189
58;Réseau de Nevers;Nevers;hot;0.342
59;Alma-Beaurepaire;Roubaix;hot;0.083
59;Les Canonniers;Valenciennes;hot;0.252
59;Réseau de Sains-du-Nord;Sains-du-Nord;hot;0.128
59;Quartier Pont de bois;Villeneuve-d'Ascq;hot;0.214
59;Domaine Universitaire et Scientifique;Villeneuve-d'Ascq;hot;0.241
59;ZUP de Wattignies-Blanc Riez;Wattignies;hot;0.174
59;Réseau de Wattrelos;Wattrelos;hot;0.214
59;ZAC des Epis;Sin-le-Noble;hot;0.228
59;Monsenergie;Mons-en-Barœul;hot;0.232
59;Métropole Nord;Lille;hot;0.284
59;Réseau de Lambersart;Lambersart;hot;0.294
59;ZUP de la caserne joyeuse;Maubeuge;hot;0.237
59;Les rives créatives de l'Escaut;Anzin;hot;0.005
59;Energie Grand Littoral;Dunkerque;hot;0.1
59;Réseau de chauffage d'Hazebrouck;Hazebrouck;hot;0.226
59;Quartier Tournebride Lomme-Capinghem;Lomme;hot;0.079
60;Réseau de Compiègne;Compiègne;hot;0.246
60;La Cavée;Creil;hot;0.109
60;Quartier des Obiers;Nogent-sur-Oise;hot;0.183
60;Les Martinets;Montataire;hot;0.213
60;Réseau du Quartier Saint-Jean;Beauvais;hot;0.013
60;Réseau de Breteuil-sur-Noye;Breteuil-sur-Noye;hot;0.025
61;Perseigne;Alençon;hot;0.055
61;Quartier Nord-Route de Falaise;Argentan;hot;0.025
61;Réseau de La Ferté-Macé;La Ferté-Macé;hot;0.042
61;Recbia;L'Aigle;hot;0.032
62;ZUP du quartier République;Avion;hot;0.226
62;Réseau de Arques;Arques;hot;0.054
62;ZUP de Lens;Lens;hot;0.006
62;Le Portel-Outreau Engie;Outreau;hot;0.193
62;Le Portel-Outreau Dalkia;Outreau;hot;0.209
62;ZUP de Béthune;Béthune;hot;0.239
62;Réseau de Liévin;Liévin;hot;0.252
62;Calais Energie;Calais;hot;0.202
62;Réseau Centre Ville;Béthune;hot;0.225
62;Réseau d'Achicourt;Achicourt;hot;0.1
62;Réseau d'Arras;Arras;hot;0.224
62;Réseau de Boulogne-sur-Mer;Boulogne-sur-Mer;hot;0.238
63;Réseau RCBE de Riom;Riom;hot;0.064
63;Saint-Jacques (HLM);Clermont-Ferrand;hot;0.19
63;ZUP de la Gauthière;Clermont-Ferrand;hot;0.081
63;Quartiers Nord;Clermont-Ferrand;hot;0.022
63;ZAC du Masage;Beaumont;hot;0.219
63;Réseau de Rochefort-Montagne;Rochefort-Montagne;hot;0.056
63;Réseau de Royat;Royat;hot;0.215
63;Réseau de Pontaumur;Pontaumur;hot;0.084
63;Le Coral;Ambert;hot;0
65;Réseau de Vic-en-Bigorre;Vic-en-Bigorre;hot;0.187
67;Elsau;Strasbourg;hot;0.214
67;Hautepierre;Strasbourg;hot;0.225
67;L'Esplanade;Strasbourg;hot;0.238
67;Eco-Quartier Brasserie Cronenbourg;Strasbourg;hot;0.152
67;Hochfelden;Strasbourg;hot;0.07
67;Réseau de Betschdorf;Betschdorf;hot;0.086
67;Cité du Wihrel;Ostwald;hot;0.216
67;Cité de l'Ill;Strasbourg;hot;0.1
67;Le Ried;Schiltigheim;hot;0.256
67;Réseau de la Communauté de Communes Sauer Pechelbronn;Morsbronn-les-Bains;hot;0.082
67;Réseau des Tanneries-Bohrie;Lingolsheim;hot;0.235
67;Réseau Mars;Haguenau;hot;0.023
67;Réseau de Niederbronn-les-Bains;Niederbronn-les-Bains;hot;0.045
67;Réseau d'Allenwiller;Allenwiller;hot;0
67;Réseau de Haguenau;Haguenau;hot;0.275
68;Réseau de Colmar;Colmar;hot;0.052
68;Montagne Verte;Colmar;hot;0.332
68;L'Illberg;Didenheim;hot;0.085
68;Porte de Bâle;Mulhouse;hot;0.217
68;Réseau de la Ville de Saint-Louis;Saint-Louis;hot;0
68;Réseau de Cernay;Cernay;hot;0.106
68;Réseau de Rixheim;Rixheim;hot;0.05
69;Les Minguettes;Vénissieux;hot;0.123
69;Les Sources (HLM);Ecully;hot;0.223
69;La Duchère et Lyon 9e;Champagne au Mont d'Or;hot;0.067
69;Réseau Lyon-Villeurbanne;Lyon-Villeurbanne;hot;0.093
69;Réseau Lyon-Villeurbanne;Lyon-Villeurbanne;cold;0.011
69;Réseau de Vaulx-en-Velin;Vaulx-en-Velin;hot;0.117
69;Campus de la Doua;Villeurbanne;hot;0.257
69;La Perralière;Villeurbanne;hot;0.214
69;Les Semailles;Rillieux-la-Pape;hot;0.057
69;Quartier de Parilly;Bron;hot;0.208
69;Les Vernes;Givors;hot;0.237
69;Réseau UIOM Villefranche;Villefranche-sur-Saone;hot;0.001
69;Plateau de Montmein;Oullins;hot;0.21
69;Z. H Champvert;Lyon;hot;0.235
69;Réseau de Rillieux-la-Pape;Rillieux-la-Pape;hot;0.128
69;Belleroche Ouest;Gleize;hot;0.069
69;Mermoz Sud;Lyon;hot;0.185
69;Domaine de la Roue;Rillieux-la-Pape;hot;0.235
69;Réseau de Sathonay-Camp;Sathonay-Camp;hot;0.063
69;Réseau de La Tour-de-Salvagny;La Tour-de-Salvagny;hot;0.055
69;Réseau de Lamure-sur-Azergues;Lamure-sur-Azergues;hot;0
70;ZUP des Capucins;Gray;hot;0.049
70;Réseau de Saulnot;Saulnot;hot;0.015
70;Réseau de Dampierre-sur-Linotte;Dampierre-sur-Linotte;hot;0.256
70;Réseau de Plancher-Bas;Plancher-Bas;hot;0.12
71;Réseau de Chalon;Chalon-sur-Saone;hot;0.111
71;Réseau de Montceau les mines;Montceau-les-Mines;hot;0.323
71;Réseau de Mâcon;Mâcon;hot;0.297
71;Réseau d'Autun;Autun;hot;0.07
71;Réseau de Tramayes;Tramayes;hot;0.02
72;Réseau du Mans;Le Mans;hot;0.23
72;Percée Centrale;Le Mans;hot;0.209
72;ZUP d'Allonnes;Le Mans-Allonnes;hot;0.037
72;Bellevue;Coulaine;hot;0.243
73;Bissy et Croix Rouge;Chambéry;hot;0.149
73;La Plagne;Macôt La Plagne;hot;0.081
73;Les Arcs;Bourg Saint Maurice;hot;0.37
73;Réseau de Saint Etienne de Cuines;Saint Etienne de Cuines;hot;0.032
73;Réseau de Beaufort;Beaufort;hot;0.002
73;Réseau de Gilly-sur-Isère;Gilly-sur-Isère;hot;0.017
73;Réseau de Yenne;Yenne;hot;0.014
73;Réseau de la Bauche;La Bauche;hot;0.241
74;Novel;Annecy;hot;0.274
74;ZUP de Champ Fleury;Seynod;hot;0.045
74;Bois Energies Annemasse;Annemasse;hot;0.104
74;Réseau de la Rénovation;Thonon-les-Bains;hot;0.286
74;Flaine;Arracles les Carroy;hot;0.32
74;Réseau de la Zup des Ewues;Cluses;hot;0.212
74;ZA La Cudra;Faverges;hot;0.005
74;ZUP de Cozets;Scionzier;hot;0.225
74;Réseau d'Avoriaz;Avoriaz;hot;0.071
74;Réseau de Clarafond-la-Presles;Clarafond-Arcine;hot;0.224
74;Réseau de Vallorcine;Vallorcine;hot;0.029
75;CPCU-Paris et communes limitrophes;Paris;hot;0.218
75;Réseau Climespace;Paris;hot;0.235
75;Réseau Climespace;Paris;cold;0.006
75;Rue Legendre;Paris;hot;0.325
76;Curb-Bihorel;Rouen;hot;0.312
76;ZAC du Mont Gaillard;Le Havre;hot;0.261
76;Réseau de Mont Saint Aignan;Mont Saint Aignan;hot;0.255
76;ZUP de la Cité Verte;Canteleu;hot;0.157
76;ZAC Nobel Bozel;Petit-Quevilly;hot;0.064
76;Château Blanc;St Etienne du Rouvray;hot;0.02
76;Extension Nord-Thermical;Neuville Les Dieppe;hot;0.215
76;SECGO;Gonfreville-l'Orcher;hot;0.014
76;CHU Charles Nicolle;Rouen;hot;0.208
76;ZUP de Caucriauville;Le Havre;hot;0.31
76;La Côte Brulée;Le Havre;hot;0.231
76;Réseau bois Grammont;Rouen;hot;0.02
76;Réseau de Maromme;Maromme;hot;0.013
76;SRGB;Notre-Dame-de-Gravenchon;hot;0.019
76;Réseau de Neufchatel-en-Bray;Neufchatel-en-Bray;hot;0.038
77;Hôpital;Meaux;hot;0.108
77;Beauval-Collinet;Meaux;hot;0.093
77;Almont-Montaigu;Melun;hot;0.021
77;ZUP du mont Saint-Martin (GTNM);Nemours;hot;0.069
77;Réseau de Dammarie-les-Lys;Dammarie-les-Lys;hot;0.237
77;Centrale de la butte Monceau;Avon;hot;0.318
77;Réseau du Mée-sur-Seine;Le Mée-sur-Seine;hot;0.046
77;Réseau de Vaux-le-Pénil;Vaux-le-Pénil;hot;0.011
77;Réseau de Coulommiers;Coulommiers;hot;0.0007
77;ZUP de Surville;Montereau-Fault-Yonne;hot;0.024
77;Réseau de Marne la Vallée;Torcy;hot;0.008
77;Réseau de Chelles;Chelles;hot;0.124
78;Les Nouveaux Horizons;Elancourt;hot;0.349
78;Le Val Fourré;Mantes la Jolie;hot;0.095
78;Réseau SVCU de Versailles;Versailles;hot;0.236
78;Parly II-Le Chesnay;Le Chesnay;hot;0.227
